job_title,skills
power bi developer,"data modeling, data visualization, dax, power bi"
power bi analyst,"business intelligence, data analysis, power bi, sql"
cloud computing specialist,"cloud platforms, security, system administration, virtualization"
cybersecurity specialist,"compliance, incident response, security protocols, threat analysis"
data science specialist,"data analysis, data visualization, machine learning, statistical modeling"
artificial intelligence engineer,"ai/ml algorithms, deep learning, neural networks, python"
database architect,"data modeling, database design, performance tuning, sql"
software architect,"cloud computing, design patterns, programming languages, system architecture"
cybersecurity engineer,"incident response, risk management, security protocols, threat analysis"
infosec analyst/cybersecurity analyst,"compliance, incident response, security protocols, threat analysis"
computer forensic analyst,"data recovery, digital forensics, incident response, legal compliance"
it security specialist,"compliance, risk management, security protocols, threat analysis"
security manager,"compliance, risk assessment, security management"
security engineer,"incident response, risk management, security protocols, threat analysis"
security consultant,"compliance, risk assessment, security consulting, security solutions"
director of security,"compliance, incident response, risk management, security leadership"
security administrator,"security policies, security tools, system administration, user management"
security specialist,"compliance, risk management, security protocols, threat analysis"
chief information officer,"budgeting, it strategy, leadership, project management"
network security engineer,"firewall management, intrusion detection, networking protocols, security protocols"
machine learning engineer for cybersecurity,"cybersecurity, data analysis, machine learning algorithms, threat detection"
network analyst,"network monitoring, performance analysis, reporting, troubleshooting"
network operations engineer,"incident response, monitoring, network operations, troubleshooting"
network reliability engineer,"automation, incident response, monitoring, network reliability"
network infrastructure specialist,"cabling, implementation, network design, networking hardware"
computer support specialist,"customer service, hardware/software, technical support, troubleshooting"
information technology analyst,"it analysis, it consulting, process improvement, requirements gathering"
technology sales consultant,"customer relationship management, sales, technical expertise, technology solutions"
database developer,"data modeling, database development, pl/sql, sql"
database analyst,"data analysis, data modeling, reporting, sql"
data warehouse manager,"data modeling, data warehousing, etl processes"
data warehouse programming specialist,"data modeling, data warehousing, etl processes, sql"
intelligence specialist,"data analysis, intelligence gathering, reporting, security"
cloud/software architect,"cloud platforms, cloud security, devops, system architecture"
cloud/software developer,"cloud platforms, cloud services, programming languages, software development"
cloud/software applications engineer,"application development, cloud platforms, cloud services, devops"
cloud system administrator,"cloud platforms, networking, system administration, virtualization"
cloud system engineer,"automation, cloud platforms, scripting, system engineering"
platform engineer,"automation, cloud computing, devops practices, platform engineering"
software quality assurance analyst,"qa processes, reporting, test execution, test planning"
ui (user interface) designer,"prototyping, ui design, usability testing, user research"
technical account manager,"account management, customer relationship management, sales, technical support"
it sales executive,"customer relationship management, sales, sales strategy, technology solutions"
it sales director,"customer relationship management, sales leadership, sales strategy"
technology manager,"budgeting, it management, project management"
technology assistant,"administrative support, hardware/software, technical support, troubleshooting"
technology specialist,"it support, problem solving, technical expertise, troubleshooting"
director oracle,"budgeting, oracle database, project management"
knowledge manager,"collaboration, documentation, information architecture, knowledge management"
manager hardware,"budgeting, hardware management, inventory management"
sharepoint manager,"collaboration, project management, sharepoint"
requirements manager,"analysis, documentation, requirements gathering"
implementation director,"implementation management, project management"
technology officer,"innovation, it strategy, leadership, project management"
director business systems,"business systems, process improvement, project management"
manager net,".net framework, net development, project management"
systems integration manager,"project management, systems integration"
digital program manager,"digital strategy, program management"
integration director,"integration management, project management"
director hardware,"budgeting, hardware management, strategic planning"
manager linux,"linux administration, project management, troubleshooting"
manager php,"php development, project management, web development"
firmware manager,"embedded systems, firmware development, project management"
it program engagement director,"customer relationship management, it program management, stakeholder management"
manager unix,"project management, troubleshooting, unix administration"
technology adoption manager,"change management, technology adoption, training"
it support specialist,"customer service, hardware/software, technical support, troubleshooting"
customer service representative,"customer service, problem solving, technical support"
technical product manager,"market analysis, product management, requirements gathering, technical expertise"
project manager,"execution, planning, project management"
program manager,"execution, planning, program management"
portfolio manager,"financial analysis, investment management, portfolio management, risk management"
chief information officer (cio),"budgeting, it strategy, leadership, project management"
chief technology officer (cto),"innovation, research and development, technology strategy"
it director,"budgeting, it management, project management"
technical operations officer,"incident response, infrastructure management, system administration, technical operations"
information management systems director,"compliance, data management, information management, systems administration"
senior it consultant,"client management, it consulting, project management, technical expertise"
technical lead,"mentoring, software development, technical leadership"
it apprentice,"customer service, learning agility, technical support, troubleshooting"
it technician,"hardware/software, networking, technical support, troubleshooting"
it systems administrator,"linux/windows servers, scripting, system administration, troubleshooting"
it engineer,"cloud computing, networking, security, system engineering"
computer network specialist,"networking, security, system administration, troubleshooting"
computer and information research scientist,"data analysis, programming, research methodologies, scientific writing"
computer and information research manager,"budgeting, project management, research management"
software development manager,"project management, software architecture, software development"
software development engineer,"algorithm design, problem solving, programming languages, software development"
application designer,"application design, programming languages, software architecture, ui/ux principles"
application engineer,"application development, programming languages, system administration, troubleshooting"
lead programmer,"mentoring, programming languages, software development"
iteration manager,"agile methodologies, kanban, scrum"
webmaster,"content management, system administration, web design, web development"
ux/ui researcher,"data analysis, reporting, usability testing, user research"
ux/ui specialist,"prototyping, usability testing, user research, ux/ui design"
animator,"animation software, storyboarding, visual effects"
motion graphics artist,"animation software, graphic design, motion graphics, visual effects"
2d artist/animator,"animation software, drawing, illustration"
3d artist/animator,"modeling, rigging, texturing"
character designer,"animation, character design, drawing, illustration"
storyboard artist,"drawing, film/animation, storyboarding"
vfx artist,"compositing, simulation, visual effects"
rigging artist,"animation, character setup, rigging"
technical animator,"animation software, programming, scripting, technical animation"
art director,"art direction, project management, visual design"
animation director,"animation direction, project management, storytelling"
visual effects animator,"animation, compositing, visual effects"
graphic effects supervisor,"project management, technical expertise, visual effects supervision"
forensic animator,"forensic animation, legal expertise"
compositor,"color correction, compositing, image manipulation, visual effects"
effects technical director (fx td),"problem solving, scripting, technical expertise, visual effects"
layout artist,"cinematography, layout, visual storytelling"
ai researcher,"ai/ml algorithms, data analysis, python, research methodologies"
ai software architect,"ai/ml architecture, cloud computing, data modeling, software design"
business intelligence developer,"business intelligence tools, data modeling, etl processes, sql"
